,andressa,eric,keli
zonas de cisalhamento - 6,CONTEXTOgeologicoDeBACIA,,CONTEXTOgeologicoDeBACIA
neoproterozoicas - 41,era,eon,era
Bacia do Paraná - 54,baciaSEDIMENTAR,baciaSEDIMENTAR,baciaSEDIMENTAR
Fanerozoico - 58,EON,EON,EON
Zona de Cisalhamento - 99,CONTEXTOgeologicoDeBACIA,,CONTEXTOgeologicoDeBACIA
zonas de cisalhamento - 155,CONTEXTOgeologicoDeBACIA,,CONTEXTOgeologicoDeBACIA
Bacia do Paraná - 168,baciaSEDIMENTAR,baciaSEDIMENTAR,baciaSEDIMENTAR
Zona de Cisalhamento - 174,CONTEXTOgeologicoDeBACIA,,CONTEXTOgeologicoDeBACIA
Zona de Cisalhamento - 294,CONTEXTOgeologicoDeBACIA,,CONTEXTOgeologicoDeBACIA
fanerozoicas - 326,eon,eon,eon
Bacia do Paraná - 330,baciaSEDIMENTAR,baciaSEDIMENTAR,baciaSEDIMENTAR
Pré-Cambriano - 402,eon,eon,eon
Bacia do Paraná - 408,baciaSEDIMENTAR,baciaSEDIMENTAR,baciaSEDIMENTAR
pré-cambriano - 428,eon,eon,eon
Zona de Cisalhamento - 432,CONTEXTOgeologicoDeBACIA,,CONTEXTOgeologicoDeBACIA
dobramentos - 450,CONTEXTOgeologicoDeBACIA,CONTEXTOgeologicoDeBACIA,
empurrões - 452,CONTEXTOgeologicoDeBACIA,CONTEXTOgeologicoDeBACIA,
falhas de cavalgamento - 500,CONTEXTOgeologicoDeBACIA,,CONTEXTOgeologicoDeBACIA
zonas de cisalhamento transpressivas - 506,CONTEXTOgeologicoDeBACIA,,CONTEXTOgeologicoDeBACIA
Zona de Cisalhamento - 513,CONTEXTOgeologicoDeBACIA,,CONTEXTOgeologicoDeBACIA
zonas de cisalhamento cavalgantes - 542,CONTEXTOgeologicoDeBACIA,,CONTEXTOgeologicoDeBACIA
transcorrentes destrais - 545,CONTEXTOgeologicoDeBACIA,CONTEXTOgeologicoDeBACIA,CONTEXTOgeologicoDeBACIA
neoproterozoica - 556,era,eon,era
Bacia do Paraná - 606,baciaSEDIMENTAR,baciaSEDIMENTAR,baciaSEDIMENTAR
Falhamentos - 613,CONTEXTOgeologicoDeBACIA,CONTEXTOgeologicoDeBACIA,
transcorrente - 622,CONTEXTOgeologicoDeBACIA,CONTEXTOgeologicoDeBACIA,CONTEXTOgeologicoDeBACIA
Pré-Cambriano - 719,eon,EON,EON
Pré-Cambriano - 744,eon,EON,EON
falhas - 811,CONTEXTOgeologicoDeBACIA,,CONTEXTOgeologicoDeBACIA
dobras - 844,CONTEXTOgeologicoDeBACIA,,CONTEXTOgeologicoDeBACIA
antiformas - 862,CONTEXTOgeologicoDeBACIA,,
Dobramentos - 881,CONTEXTOgeologicoDeBACIA,,
falhas transcorrentes - 902,CONTEXTOgeologicoDeBACIA,,CONTEXTOgeologicoDeBACIA
Pré-Cambriano - 905,EON,EON,EON
falhas - 911,CONTEXTOgeologicoDeBACIA,,CONTEXTOgeologicoDeBACIA
zona de falha - 943,CONTEXTOgeologicoDeBACIA,,CONTEXTOgeologicoDeBACIA
transcorrência - 950,CONTEXTOgeologicoDeBACIA,,
bacia do Paraná - 983,baciaSEDIMENTAR,baciaSEDIMENTAR,baciaSEDIMENTAR
Paleoproterozóico - 1115,era,ERA,ERA
mesoproterozoicos - 1118,era,eon,era
neoproterozoicos - 1121,era,eon,era
Neoproterozoico - 1167,ERA,ERA,ERA
Arqueana - 1258,eon,eon,eon
Paleoproterozóico - 1264,ERA,ERA,ERA
Neoproterozoico - 1266,era,eon,era
fanerozoico - 1339,eon,eon,eon
Zona de Cisalhamento - 1343,CONTEXTOgeologicoDeBACIA,,CONTEXTOgeologicoDeBACIA
Bacia do Paraná - 1360,baciaSEDIMENTAR,baciaSEDIMENTAR,baciaSEDIMENTAR
Bacia do Paraná - 1390,baciaSEDIMENTAR,baciaSEDIMENTAR,baciaSEDIMENTAR
falhas - 1419,CONTEXTOgeologicoDeBACIA,,CONTEXTOgeologicoDeBACIA
Formação Serra Geral - 1460,formacao,unidadeESTRATIGRAFICA,unidadeESTRATIGRAFICA
Cretáceo - 1473,PERIODO,PERIODO,PERIODO
Formação Tinguis - 1489,unidadeESTRATIGRAFICA,unidadeESTRATIGRAFICA,unidadeESTRATIGRAFICA
Cenozoico - 1491,era,era,era
fraturas - 1502,CONTEXTOgeologicoDeBACIA,,CONTEXTOgeologicoDeBACIA
falhas - 1504,CONTEXTOgeologicoDeBACIA,,CONTEXTOgeologicoDeBACIA
Neogeno - 1537,periodo,,periodo
pré-cambriano - 1546,eon,,eon
Bacia do Paraná - 1605,baciaSEDIMENTAR,baciaSEDIMENTAR,baciaSEDIMENTAR
cinturão Dom Feliciano - 1622,CONTEXTOgeologicoDeBACIA,,outro
zonas de falhas - 1650,CONTEXTOgeologicoDeBACIA,,CONTEXTOgeologicoDeBACIA
Bacia do Paraná - 1665,baciaSEDIMENTAR,baciaSEDIMENTAR,baciaSEDIMENTAR
Bacia do Paraná - 1677,baciaSEDIMENTAR,baciaSEDIMENTAR,baciaSEDIMENTAR
Bacia do Paraná - 1741,baciaSEDIMENTAR,baciaSEDIMENTAR,baciaSEDIMENTAR
Zona de Cisalhamento - 2270,CONTEXTOgeologicoDeBACIA,,CONTEXTOgeologicoDeBACIA
Bacia do Paraná - 2912,baciaSEDIMENTAR,baciaSEDIMENTAR,baciaSEDIMENTAR
Bacia do Paraná - 3448,baciaSEDIMENTAR,baciaSEDIMENTAR,baciaSEDIMENTAR
Zona de Cisalhamento - 3475,CONTEXTOgeologicoDeBACIA,,CONTEXTOgeologicoDeBACIA
zonas de cisalhamento - 3525,CONTEXTOgeologicoDeBACIA,,CONTEXTOgeologicoDeBACIA
Grupo Passa Dois - 3590,unidadeESTRATIGRAFICA,unidadeESTRATIGRAFICA,unidadeESTRATIGRAFICA
falhamentos - 3593,CONTEXTOgeologicoDeBACIA,CONTEXTOgeologicoDeBACIA,CONTEXTOgeologicoDeBACIA
zonas de cisalhamento - 3717,CONTEXTOgeologicoDeBACIA,,CONTEXTOgeologicoDeBACIA
cisalhamento - 3799,CONTEXTOgeologicoDeBACIA,CONTEXTOgeologicoDeBACIA,CONTEXTOgeologicoDeBACIA
cisalhamento - 3834,CONTEXTOgeologicoDeBACIA,CONTEXTOgeologicoDeBACIA,
Mesozoico - 3945,era,ERA,ERA
zonas de cisalhamento - 3978,CONTEXTOgeologicoDeBACIA,,CONTEXTOgeologicoDeBACIA
Pré-Cambriano - 3986,EON,EON,EON
Bacia do Paraná - 3997,baciaSEDIMENTAR,baciaSEDIMENTAR,baciaSEDIMENTAR
pré-cambrianas - 4095,eon,eon,eon
zonas de cisalhamento - 4100,CONTEXTOgeologicoDeBACIA,,CONTEXTOgeologicoDeBACIA
Bacia do Paraná - 4131,baciaSEDIMENTAR,baciaSEDIMENTAR,baciaSEDIMENTAR
Bacia do Paraná - 4196,baciaSEDIMENTAR,baciaSEDIMENTAR,baciaSEDIMENTAR
